BLER,MCS
0.151241, 18
0.152991, 9
0.136117, 15
0.137692, 6
0.122505, 15
0.123923, 6
0.110255, 15
0.111531, 6
0.099229, 15
0.100377, 6
0.089306, 15
0.090340, 6
0.080376, 15
0.081306, 6
0.072338, 15
0.073175, 6
0.065104, 15
0.065858, 6
0.058594, 15
0.059272, 6
0.052735, 15
0.053345, 6
0.047461, 15
0.048010, 6
0.060362, 18
0.043209, 9
0.066091, 18
0.038888, 12
0.070593, 18
0.034999, 15
0.083533, 18
0.123435, 18
0.083513, 18
0.207758, 18
0.188663, 15
0.091829, 18
0.169797, 12
0.082646, 18
0.152817, 9
0.091048, 18
0.137535, 6
0.087499, 18
0.123782, 6
0.089860, 18
0.111404, 6
0.086429, 18
0.100263, 6
0.083669, 18
0.090237, 6
0.088635, 18
0.081213, 6
0.106438, 18
0.073092, 6
0.117223, 18
0.065783, 6
0.105501, 18
0.059204, 6
0.128284, 18
0.053284, 6
0.115456, 18
0.047956, 6
0.116410, 18
0.043160, 9
0.110325, 18
0.038844, 12
0.111057, 18
0.034960, 15
0.104951, 18
0.123399, 18
0.101599, 18
0.209393, 18
0.118106, 18
0.190120, 15
0.117406, 18
0.171108, 12
0.105666, 18
0.153997, 9
0.113849, 18
0.138597, 6
0.109131, 18
0.124738, 6
0.108218, 18
0.112264, 6
0.097396, 18
0.101038, 6
0.094323, 18
0.090934, 6
0.098224, 18
0.081840, 6
0.100902, 18
0.073656, 6
0.105097, 18
0.066291, 6
0.100143, 18
0.059662, 6
0.096379, 18
0.053695, 6
0.086741, 18
0.048326, 6
0.096817, 18
0.043493, 9
0.092691, 18
0.039144, 12
0.095186, 18
0.035230, 15
0.102334, 18
0.123642, 18
0.092101, 18
0.206360, 18
0.089141, 18
0.188266, 15
0.103756, 18
0.169440, 12
0.105145, 18
0.152496, 9
0.099894, 18
0.137246, 6
0.095168, 18
0.123521, 6
0.097416, 18
0.111169, 6
0.100174, 18
0.100052, 6
0.096823, 18
0.090047, 6
0.087141, 18
0.081042, 6
0.084677, 18
0.072938, 6
0.093856, 18
0.065644, 6
0.091137, 18
0.059080, 6
0.094524, 18
0.053172, 6
0.092214, 18
0.047855, 6
0.114243, 18
0.043069, 9
0.102818, 18
0.038762, 12
0.108326, 18
0.034886, 15
0.104160, 18
0.121720, 18
0.101436, 18
0.207881, 18
0.102404, 18
0.187927, 15
0.102690, 18
0.169134, 12
0.106707, 18
0.096036, 18
0.086432, 15
0.077789, 12
0.070010, 9
0.063009, 9
0.056708, 9
0.152221, 9
0.051037, 9
0.045934, 9
0.041340, 9
0.037206, 9
0.033486, 9
0.030137, 9
0.027123, 9
0.024411, 9
0.021970, 9
0.019773, 9
0.136999, 6
0.017796, 9
0.016016, 9
0.014414, 9
0.012973, 9
0.123299, 6
0.011676, 9
0.110969, 6
0.010508, 12
0.099872, 6
0.009457, 15
0.089885, 6
0.033512, 18
0.080896, 6
0.100160, 21
0.072807, 6
0.143991, 21
0.065526, 6
0.187925, 21
0.058973, 6
0.169132, 18
0.053076, 6
0.152219, 15
0.047768, 6
0.136997, 12
0.042992, 9
0.123297, 12
0.038692, 12
0.110968, 12
0.034823, 15
0.099871, 12
0.120230, 18
0.089884, 12
0.203289, 18
0.080895, 12
0.186379, 15
0.072806, 12
0.167741, 12
0.065525, 12
0.150967, 9
0.064855, 12
0.135870, 6
0.064252, 12
0.122283, 6
0.057827, 12
0.110055, 6
0.052044, 12
0.099049, 6
0.046840, 12
0.089144, 6
0.042156, 15
0.080230, 6
0.055587, 18
0.072207, 6
0.063362, 18
0.064986, 6
0.068790, 18
0.058488, 6
0.073676, 18
0.052639, 6
0.077420, 18
0.047375, 6
0.088428, 18
0.042637, 9
0.090696, 18
0.038374, 12
0.099273, 18
0.034536, 15
0.096013, 18
0.119972, 18
0.086411, 18
0.206308, 18
0.116232, 18
0.188219, 15
0.128138, 18
0.169397, 12
0.132971, 18
0.152458, 9
0.125924, 18
0.137212, 6
0.124443, 18
0.123491, 6
0.124499, 18
0.111142, 6
0.125382, 18
0.100027, 6
0.124609, 18
0.090025, 6
0.118030, 18
0.081022, 6
0.118727, 18
0.072920, 6
0.119354, 18
0.065628, 6
0.119184, 18
0.059065, 6
0.124912, 18
0.053159, 6
0.119088, 18
0.047843, 6
0.112735, 18
0.043059, 9
0.106724, 18
0.038753, 12
0.106578, 18
0.034877, 15
0.125332, 18
0.118890, 18
0.121132, 18
0.202083, 18
0.115686, 18
0.185293, 15
0.115882, 18
0.166764, 12
0.116058, 18
0.150088, 9
0.111119, 18
0.135079, 6
0.121571, 6
0.116674, 18
0.109414, 6
0.111257, 18
0.098472, 6
0.120131, 18
0.088625, 6
0.114000, 18
0.079763, 6
0.108156, 18
0.071786, 6
0.110673, 18
0.064608, 6
0.106273, 18
0.058147, 6
0.114395, 18
0.052332, 6
0.116289, 18
0.047099, 6
0.110910, 18
0.042389, 9
0.105082, 18
0.038150, 12
0.106339, 18
0.034335, 15
0.116758, 18
0.121378, 18
0.111332, 18
0.199563, 18
0.110199, 18
0.183025, 15
0.104734, 18
0.164723, 12
0.119261, 18
0.148250, 9
0.113585, 18
0.133425, 9
0.107782, 18
0.120083, 9
0.114651, 18
0.108075, 9
0.121936, 18
0.097267, 9
0.129742, 18
0.087540, 9
0.143435, 18
0.078786, 9
0.134647, 18
0.070908, 9
0.134515, 18
0.063817, 9
0.126327, 18
0.057435, 9
0.119250, 18
0.051692, 9
0.145786, 18
0.046523, 9
0.142972, 18
0.041870, 12
0.139202, 18
0.037683, 15
0.130545, 18
0.122804, 18
0.125823, 18
0.205605, 18
0.126574, 18
0.188464, 15
0.118917, 18
0.169617, 12
0.132025, 18
0.152656, 9
0.130587, 18
0.137390, 6
0.134195, 18
0.123651, 6
0.132541, 18
0.111286, 6
0.132620, 18
0.100157, 6
0.140786, 18
0.090142, 6
0.132590, 18
0.081127, 6
0.124887, 18
0.073015, 6
0.126684, 18
0.065713, 6
0.132765, 18
0.059142, 6
0.138239, 18
0.053228, 6
0.143165, 18
0.047905, 6
0.140613, 18
0.043114, 9
0.145302, 18
0.038803, 12
0.136327, 18
0.034923, 15
0.131028, 18
0.121907, 18
0.131258, 18
0.118133, 18
0.106319, 15
0.095687, 12
0.086119, 9
0.218807, 18
0.077507, 9
0.069756, 9
0.062780, 9
0.056502, 9
0.196926, 15
0.050852, 9
0.045767, 9
0.041190, 9
0.037071, 9
0.033364, 9
0.030028, 9
0.027025, 9
0.024322, 9
0.021890, 9
0.177234, 12
0.019701, 9
0.017731, 9
0.015958, 9
0.014362, 9
0.012926, 9
0.011633, 9
0.010470, 9
0.009423, 9
0.008481, 9
0.007633, 9
0.159510, 9
0.006869, 9
0.006182, 9
0.005564, 9
0.005008, 9
0.004507, 9
0.143559, 6
0.004056, 9
0.129203, 6
0.009533, 9
0.116283, 6
0.008580, 12
0.104655, 6
0.007722, 15
0.094189, 6
0.025700, 18
0.084770, 6
0.095857, 21
0.076293, 6
0.152938, 21
0.068664, 6
0.145336, 18
0.061798, 6
0.130803, 18
0.055618, 6
0.123278, 18
0.050056, 6
0.118093, 18
0.045050, 6
0.112950, 18
0.040545, 9
0.114989, 18
0.036491, 12
0.116823, 18
0.032842, 15
0.117641, 18
0.122150, 18
0.105877, 18
0.194935, 18
0.100845, 18
0.178950, 15
0.101287, 18
0.161055, 12
0.097408, 18
0.144950, 9
0.098778, 18
0.130455, 9
0.094456, 18
0.117409, 9
0.105010, 18
0.105668, 9
0.100392, 18
0.095102, 9
0.113882, 18
0.085591, 9
0.114258, 18
0.077032, 9
0.114597, 18
0.069329, 9
0.109388, 18
0.062396, 9
0.104004, 18
0.056157, 9
0.113604, 18
0.050541, 9
0.114008, 18
0.045487, 9
0.120254, 18
0.040938, 12
0.124896, 18
0.036844, 15
0.137406, 18
0.125095, 18
0.131999, 18
0.210919, 18
0.132132, 18
0.191494, 15
0.123919, 18
0.172345, 12
0.121051, 18
0.155110, 9
0.121446, 18
0.139599, 6
0.125968, 18
0.125639, 6
0.127657, 18
0.113075, 6
0.132538, 18
0.101768, 6
0.131049, 18
0.091591, 6
0.137944, 18
0.082432, 6
0.129413, 18
0.074189, 6
0.136472, 18
0.066770, 6
0.144253, 18
0.060093, 6
0.136494, 18
0.054084, 6
0.129095, 18
0.048675, 6
0.134935, 18
0.043808, 9
0.127324, 18
0.039427, 12
0.125703, 18
0.035484, 15
0.125633, 18
0.123871, 18
0.131251, 18
0.209818, 18
0.130626, 18
0.190516, 15
0.136313, 18
0.171465, 12
0.133793, 18
0.154318, 9
0.140414, 18
0.138886, 6
0.140658, 18
0.124998, 6
0.133259, 18
0.112498, 6
0.135318, 18
0.101248, 6
0.121786, 18
0.091123, 6
0.138179, 18
0.082011, 6
0.124361, 18
0.073810, 6
0.123690, 18
0.066429, 6
0.116584, 18
0.059786, 6
0.128002, 18
0.053807, 6
0.130587, 18
0.048427, 6
0.142528, 18
0.043584, 9
0.147025, 18
0.039226, 12
0.143434, 18
0.035303, 15
0.145757, 18
0.125215, 18
