BLER,MCS
0.140486, 25
0.042006, 18
0.138475, 25
0.071139, 19
0.139865, 25
0.132775, 19
0.138842, 25
0.195968, 19
0.140196, 25
0.176371, 18
0.139260, 25
0.158734, 17
0.138418, 25
0.142861, 16
0.137540, 25
0.128575, 16
0.139024, 25
0.115717, 16
0.140359, 25
0.104145, 16
0.142670, 25
0.093731, 16
0.138313, 25
0.084358, 16
0.137565, 25
0.075922, 16
0.142436, 25
0.068330, 16
0.142344, 25
0.061497, 16
0.135127, 25
0.055347, 16
0.133651, 25
0.055695, 16
0.129295, 25
0.050125, 16
0.132712, 25
0.045113, 16
0.129350, 25
0.040602, 17
0.127425, 25
0.036541, 18
0.125691, 25
0.085828, 19
0.125159, 25
0.155023, 19
0.121572, 25
0.149521, 18
0.119415, 25
0.144569, 18
0.132473, 25
0.143445, 18
0.130235, 25
0.160351, 18
0.134519, 25
0.144316, 17
0.133104, 25
0.135147, 17
0.131831, 25
0.126896, 17
0.132799, 25
0.114206, 17
0.139127, 25
0.102786, 17
0.146214, 25
0.092507, 17
0.146831, 25
0.089506, 17
0.144185, 25
0.087222, 17
0.141693, 25
0.135559, 25
0.078500, 17
0.141805, 25
0.070650, 17
0.138634, 25
0.063585, 17
0.138789, 25
0.063109, 17
0.141257, 25
0.061146, 17
0.136140, 25
0.055031, 17
0.137764, 25
0.054074, 17
0.136951, 25
0.053666, 17
0.141883, 25
0.048300, 17
0.137695, 25
0.053470, 18
0.135962, 25
0.078123, 18
0.131295, 25
0.080310, 18
0.131249, 25
0.085613, 18
0.141836, 25
0.082934, 18
0.145128, 25
0.079640, 18
0.144634, 25
0.071676, 18
0.145704, 25
0.064509, 18
0.143171, 25
0.062820, 18
0.143005, 25
0.056538, 18
0.146012, 25
0.056147, 18
0.148887, 25
0.056782, 18
0.148149, 25
0.056987, 18
0.150810, 25
0.056551, 18
0.137395, 24
0.073118, 18
0.124489, 24
0.075330, 18
0.113721, 24
0.078908, 18
0.105768, 24
0.088665, 18
0.097712, 24
0.085061, 18
0.089621, 24
0.113397, 18
0.082340, 24
0.106819, 18
0.074106, 24
0.096137, 18
0.066695, 24
0.096524, 18
0.062568, 24
0.096871, 18
0.059730, 24
0.107184, 18
0.054590, 24
0.096466, 18
0.050798, 24
0.091167, 18
0.047399, 24
0.087606, 18
0.056810, 25
0.088845, 18
0.070931, 25
0.089961, 18
0.075764, 25
0.087215, 18
0.089188, 25
0.094283, 18
0.097745, 25
0.091997, 18
